Variable1,Correlation,Description,Variable_Part,Variable_Part_Description
Median,0.9931125322624531,Ex_S8_S9,dim3,Boxer processing time
Average,0.9912155216580112,Ex_S1_S101,dim3,Boxer processing time
Average,0.9892258412258531,Ex_S4_S5,dim3,Boxer processing time
Average,0.9889088343615249,Ex_S7_S8,dim3,Boxer processing time
Average,0.9870939291352014,Ex_S1_S102,dim3,Boxer processing time
Median,0.9868615284591216,Ex_S7_S8,dim3,Boxer processing time
Median,0.9865774519336868,Ex_S5_S6,dim3,Boxer processing time
Average,0.9828571918553969,Ex_S5_S6,dim3,Boxer processing time
Average,0.982779341552307,Ex_S1_S103,dim3,Boxer processing time
Median,0.9826262685327011,Ex_S4_S5,dim3,Boxer processing time
Average,0.9814764103552942,Ex_S8_S9,dim3,Boxer processing time
Average,0.9785670337790137,Ex_S3_S4,dim3,Boxer processing time
Median,0.9745680478019836,Ex_S1_S101,dim3,Boxer processing time
Median,0.9713541052064696,Ex_S1_S102,dim3,Boxer processing time
Median,0.9694660553019646,Ex_S1_S103,dim3,Boxer processing time
Average,0.9659656421311796,Ex_S2_S3,dim3,Boxer processing time
Median,0.9659475365330333,Ecdf_S4,dim3,Boxer processing time
Average,0.9590045208151002,Ex_S10_S12,dim3,Boxer processing time
Average,0.9583584964446107,Ecdf_S4,dim3,Boxer processing time
Average,0.9465516070954694,Ex_S1_S2,dim3,Boxer processing time
Average,0.9436985868840663,Ecdf_S2,dim3,Boxer processing time
Average,0.92808229576784,Ex_S8_S104,dim3,Boxer processing time
Median,0.9223118005695163,Ecdf_S2,dim3,Boxer processing time
Average,0.919700006630507,Ecdf_S7,dim3,Boxer processing time
Median,0.9189531980723525,Ex_S12_S13,dim3,Boxer processing time
Median,0.9180806780964906,Ecdf_S7,dim3,Boxer processing time
Average,0.9034959470379731,Ecdf_S1,dim3,Boxer processing time
Median,0.8739840892768627,Ex_S10_S12,dim3,Boxer processing time
Median,0.8629663879412752,Ex_S3_S4,dim3,Boxer processing time
Median,0.8627873646990359,Ex_S2_S3,dim3,Boxer processing time
