;name;start;end;duration
0;clear_db;13:32:23;13:32:51;27,82737398147583
0;set_constraints;13:32:51;13:32:51;0,05023312568664551
0;_import_nodes_from_data for S1.csv;13:32:51;13:32:51;0,10662150382995605
0;_import_nodes_from_data for S2.csv;13:32:51;13:32:51;0,06764793395996094
0;_import_nodes_from_data for S3.csv;13:32:51;13:32:51;0,06655740737915039
0;_import_nodes_from_data for S4.csv;13:32:51;13:32:51;0,061833858489990234
0;_import_nodes_from_data for S5.csv;13:32:51;13:32:51;0,07360124588012695
0;_import_nodes_from_data for S6.csv;13:32:51;13:32:51;0,06855320930480957
0;_import_nodes_from_data for S101.csv;13:32:51;13:32:51;0,018999576568603516
0;_import_nodes_from_data for S105.csv;13:32:51;13:32:51;0,009998083114624023
0;_filter_nodes for ToyExamplePizzaSensors;13:32:51;13:32:51;0,0
0;_finalize_import;13:32:51;13:32:52;0,07663297653198242
0;_import_nodes_from_data for S100.csv;13:32:52;13:32:52;0,026958227157592773
0;_filter_nodes for ToyExamplePizzaSensorsExceededCookingTime;13:32:52;13:32:52;0,0009996891021728516
0;_finalize_import;13:32:52;13:32:52;0,010999202728271484
0;_import_nodes_from_data for S7.csv;13:32:52;13:32:52;0,03204464912414551
0;_import_nodes_from_data for S8.csv;13:32:52;13:32:52;0,02954697608947754
0;_import_nodes_from_data for S102.csv;13:32:52;13:32:52;0,010999441146850586
0;_import_nodes_from_data for S104.csv;13:32:52;13:32:52;0,010000944137573242
0;_filter_nodes for ToyExamplePackSensors;13:32:52;13:32:52;0,0
0;_finalize_import;13:32:52;13:32:52;0,007999658584594727
0;_import_nodes_from_data for S9.csv;13:32:52;13:32:52;0,015002250671386719
0;_import_nodes_from_data for S10.csv;13:32:52;13:32:52;0,015004158020019531
0;_import_nodes_from_data for S103.csv;13:32:52;13:32:52;0,018510818481445312
0;_filter_nodes for ToyExampleBoxSensors;13:32:52;13:32:52;0,0010347366333007812
0;_finalize_import;13:32:52;13:32:52;0,006012916564941406
0;_import_nodes_from_data for S11.csv;13:32:52;13:32:52;0,018951892852783203
0;_import_nodes_from_data for S12.csv;13:32:52;13:32:52;0,009998559951782227
0;_import_nodes_from_data for S13.csv;13:32:52;13:32:52;0,013002157211303711
0;_import_nodes_from_data for S14.csv;13:32:52;13:32:52;0,010094881057739258
0;_import_nodes_from_data for S15.csv;13:32:52;13:32:52;0,010021448135375977
0;_import_nodes_from_data for S16.csv;13:32:52;13:32:52;0,009980916976928711
0;_filter_nodes for ToyExamplePizzaPalletSensors;13:32:52;13:32:52;0,001005411148071289
0;_finalize_import;13:32:52;13:32:52;0,010000944137573242
0;_import_nodes_from_data for stations.csv;13:32:52;13:32:52;0,05854225158691406
0;_filter_nodes for ToyExampleStations;13:32:52;13:32:52;0,0010395050048828125
0;_finalize_import;13:32:52;13:32:52;0,005961418151855469
0;_import_nodes_from_data for production_plan.csv;13:32:52;13:32:52;0,016998767852783203
0;_filter_nodes for ToyExampleProductionPlan;13:32:52;13:32:52;0,0010116100311279297
0;_finalize_import;13:32:52;13:32:52;0,009004831314086914
0;_import_nodes_from_data for opBox_onBreak.csv;13:32:52;13:32:52;0,0465092658996582
0;_import_nodes_from_data for opPack_onBreak.csv;13:32:52;13:32:52;0,02899932861328125
0;_filter_nodes for ToyExampleOperators;13:32:52;13:32:52;0,0010008811950683594
0;_finalize_import;13:32:52;13:32:52;0,003998756408691406
0;_import_nodes_from_data for In1_distanceLock.csv;13:32:52;13:32:52;0,06851339340209961
0;_import_nodes_from_data for In1_policyLock.csv;13:32:52;13:32:52;0,05800366401672363
0;_filter_nodes for ToyExampleLockStatus;13:32:52;13:32:52;0,0010433197021484375
0;_finalize_import;13:32:52;13:32:52;0,013462543487548828
0;_import_nodes_from_data for wip.csv;13:32:52;13:32:52;0,06157946586608887
0;_filter_nodes for ToyExampleLockStatus;13:32:52;13:32:52;0,0
0;_finalize_import;13:32:52;13:32:52;0,011003255844116211
0;"_create_node_by_record for (e:Event:SensorEvent:V3 {timestamp: record.timestamp, activity: ""Pass Sensor "" + record.sensorId})";13:32:52;13:32:53;0,42070770263671875
0;"_create_node_by_record for (e:Event:OperatorEvent:V3 {timestamp: record.timestamp, activity: ""Start Break""})";13:32:53;13:32:53;0,0800013542175293
0;"_create_node_by_record for (e:Event:OperatorEvent:V3 {timestamp: record.timestamp, activity: ""Stop Break""})";13:32:53;13:32:53;0,07955527305603027
0;"_create_node_by_record for (e:Event:SensorReadingEvent:V3 {timestamp: record.timestamp, activity: ""Read Lock Status""})";13:32:53;13:32:53;0,1657562255859375
0;"_create_node_by_record for (e:Event:SensorReadingEvent:V3 {timestamp: record.timestamp, activity: ""Read WIP amount""})";13:32:53;13:32:53;0,10942339897155762
0;"_create_node_by_record for (a:Activity:V3 {activity: ""Pass Sensor "" + record.sensorId})";13:32:53;13:32:53;0,4163818359375
0;"_create_node_by_record for (a:Activity:V3 {activity: ""Start Break""})";13:32:53;13:32:54;0,08655858039855957
0;"_create_node_by_record for (a:Activity:V3 {activity: ""Stop Break""})";13:32:54;13:32:54;0,08712100982666016
0;"_create_node_by_record for (a:Activity:V3 {activity: ""Read Lock Status""})";13:32:54;13:32:54;0,18057608604431152
0;"_create_node_by_record for (a:Activity:V3 {activity: ""Read WIP amount""})";13:32:54;13:32:54;0,1313638687133789
0;_create_node_by_record for (v:Entity:Pizza:V3 {sysId: record.pizzaId});13:32:54;13:32:55;1,0300734043121338
0;_create_node_by_record for (v:EntityAttribute:PizzaQualityAttribute:V3 {burned: record.exceededCookingTime});13:32:55;13:32:55;0,07853102684020996
0;_create_node_by_record for (v:Entity:Pack:V3 {sysId: record.packId});13:32:55;13:32:55;0,15252137184143066
0;_create_node_by_record for (v:Entity:Box:V3 {sysId: record.boxId});13:32:55;13:32:56;0,34292173385620117
0;_create_node_by_record for (v:Entity:Pallet:V3 {sysId: record.palletId});13:32:56;13:32:56;0,16210532188415527
0;_create_node_by_record for (v:Entity:Resource:MachinePart:Sensor:V3 {sysId: record.sensorId});13:32:56;13:33:03;6,994527578353882
0;"_create_node_by_record for (ls:EntityAttribute:SensorReading:V3 {status: ""locked""})";13:33:03;13:33:03;0,140092134475708
0;"_create_node_by_record for (ls:EntityAttribute:SensorReading:V3 {status: ""not locked""})";13:33:03;13:33:03;0,21399450302124023
0;"_create_node_by_record for (ls:EntityAttribute:SensorReading:V3 {status: ""WIP amount "" + record.amount})";13:33:03;13:33:03;0,16314911842346191
0;_create_node_by_record for (v:Entity:Resource:Station:Location:V3 {sysId: record.stationName, type: record.stationType});13:33:03;13:33:03;0,1384716033935547
0;_create_node_by_record for (v:Entity:Resource:AssemblyLine:V3 {sysId: record.assemblyName});13:33:03;13:33:03;0,09602618217468262
0;_create_node_by_record for (v:ProductionPlan:V3 {code: record.code});13:33:03;13:33:04;0,3722503185272217
0;_create_node_by_record for (v:Entity:Resource:HumanResource:Operator:V3 {sysId: record.operatorId});13:33:04;13:33:04;0,14902544021606445
0;merge_sensor_events;13:33:04;13:33:04;0,02600693702697754
0;connect_wip_sensor_to_assembly_line;13:33:04;13:33:04;0,03452277183532715
0;_create_relations_using_record for (pizza ) - [:HAS_PROPERTY] -> (quality );13:33:04;13:33:04;0,15551304817199707
0;_create_relations_using_record for (sensor ) - [:HAS_VALUE] -> (ls );13:33:04;13:33:04;0,14909791946411133
0;_create_relations_using_record for (sensor ) - [:HAS_VALUE] -> (ls );13:33:04;13:33:04;0,11618757247924805
0;_create_relations_using_record for (pizza ) - [:FOLLOWS] -> (description );13:33:04;13:33:05;0,2300243377685547
0;_create_relations_using_record for (pack ) - [:FOLLOWS] -> (description );13:33:05;13:33:05;0,09716558456420898
0;_create_relations_using_record for (box ) - [:FOLLOWS] -> (description );13:33:05;13:33:05;0,0846095085144043
0;_create_relations_using_record for (sensor ) - [:PART_OF] -> (station );13:33:05;13:33:05;0,08829593658447266
0;_create_relations_using_record for (station ) - [:PART_OF] -> (assembly );13:33:05;13:33:05;0,08155655860900879
0;_create_relations_using_relation for (e ) - [:OCCURRED_AT] -> (station );13:33:05;13:33:05;0,26323890686035156
0;_create_relations_using_relation for (a ) - [:OCCURS_AT] -> (station );13:33:05;13:33:05;0,057541847229003906
0;_create_df_edges_for_entity for (:Entity:Pizza:V3);13:33:05;13:33:06;0,1992180347442627
0;_create_df_edges_for_entity for (:Entity:Pack:V3);13:33:06;13:33:06;0,09451723098754883
0;_create_df_edges_for_entity for (:Entity:Box:V3);13:33:06;13:33:06;0,09155917167663574
0;_create_df_edges_for_entity for (:Entity:Pallet:V3);13:33:06;13:33:06;0,07954788208007812
0;_create_df_edges_for_entity for (:Entity:Resource:MachinePart:Sensor:V3);13:33:06;13:33:06;0,2948486804962158
0;_create_df_edges_for_entity for (:Entity:Resource:Station:Location:V3);13:33:06;13:33:06;0,33289456367492676
0;_create_df_edges_for_entity for (:Entity:Resource:HumanResource:Operator:V3);13:33:06;13:33:07;0,08132171630859375
0;_merge_duplicate_df_for_node for (:Entity:Pizza:V3);13:33:07;13:33:07;0,052001237869262695
0;_merge_duplicate_df_for_node for (:Entity:Pack:V3);13:33:07;13:33:07;0,03262519836425781
0;_merge_duplicate_df_for_node for (:Entity:Box:V3);13:33:07;13:33:07;0,033040761947631836
0;_merge_duplicate_df_for_node for (:Entity:Pallet:V3);13:33:07;13:33:07;0,032965660095214844
0;_merge_duplicate_df_for_node for (:Entity:Resource:MachinePart:Sensor:V3);13:33:07;13:33:07;0,05767345428466797
0;_merge_duplicate_df_for_node for (:Entity:Resource:Station:Location:V3);13:33:07;13:33:07;0,05895805358886719
0;_merge_duplicate_df_for_node for (:Entity:Resource:HumanResource:Operator:V3);13:33:07;13:33:07;0,03238654136657715
0;complete_corr;13:33:07;13:33:08;1,584991455078125
0;delete_df_edges;13:33:08;13:33:09;0,13254475593566895
0;complete_quality;13:33:09;13:33:09;0,1574087142944336
0;connect_operators_to_station;13:33:09;13:33:09;0,03847241401672363
0;_create_relations_using_relation for (pizza ) - [:PART_OF] -> (pack );13:33:09;13:33:09;0,08115267753601074
0;_create_relations_using_relation for (pack ) - [:PART_OF] -> (box );13:33:09;13:33:09;0,06097817420959473
0;_create_relations_using_relation for (box ) - [:PART_OF] -> (pallet );13:33:09;13:33:09;0,06865596771240234
0;_create_df_edges_for_entity for (:Entity:Pizza:V3);13:33:09;13:33:09;0,13747906684875488
0;_create_df_edges_for_entity for (:Entity:Pack:V3);13:33:09;13:33:09;0,01800990104675293
0;_create_df_edges_for_entity for (:Entity:Box:V3);13:33:09;13:33:09;0,009598970413208008
0;_create_df_edges_for_entity for (:Entity:Pallet:V3);13:33:09;13:33:09;0,006009578704833984
0;_create_df_edges_for_entity for (:Entity:Resource:MachinePart:Sensor:V3);13:33:09;13:33:09;0,08603286743164062
0;_create_df_edges_for_entity for (:Entity:Resource:Station:Location:V3);13:33:09;13:33:09;0,09556889533996582
0;_create_df_edges_for_entity for (:Entity:Resource:HumanResource:Operator:V3);13:33:09;13:33:09;0,00500035285949707
0;_merge_duplicate_df_for_node for (:Entity:Pizza:V3);13:33:09;13:33:09;0,0245208740234375
0;_merge_duplicate_df_for_node for (:Entity:Pack:V3);13:33:09;13:33:09;0,004997730255126953
0;_merge_duplicate_df_for_node for (:Entity:Box:V3);13:33:09;13:33:09;0,003998756408691406
0;_merge_duplicate_df_for_node for (:Entity:Pallet:V3);13:33:09;13:33:09;0,003000497817993164
0;_merge_duplicate_df_for_node for (:Entity:Resource:MachinePart:Sensor:V3);13:33:09;13:33:09;0,07256007194519043
0;_merge_duplicate_df_for_node for (:Entity:Resource:Station:Location:V3);13:33:09;13:33:09;0,026026248931884766
0;_merge_duplicate_df_for_node for (:Entity:Resource:HumanResource:Operator:V3);13:33:09;13:33:09;0,0019989013671875
0;_create_df_process_model for (:Entity:Pizza:V3);13:33:09;13:33:10;0,0777444839477539
0;_create_df_process_model for (:Entity:Pack:V3);13:33:10;13:33:10;0,04001140594482422
0;_create_df_process_model for (:Entity:Box:V3);13:33:10;13:33:10;0,0380399227142334
0;_create_df_process_model for (:Entity:Pallet:V3);13:33:10;13:33:10;0,044586181640625
0;connect_stations_and_sensors;13:33:10;13:33:10;0,10960769653320312
0;_create_df_edges_for_entity for (:Entity:Resource:Station:Location:V3);13:33:10;13:33:10;0,06867432594299316
0;_merge_duplicate_df_for_node for (:Entity:Pizza:V3);13:33:10;13:33:10;0,02500128746032715
0;_merge_duplicate_df_for_node for (:Entity:Pack:V3);13:33:10;13:33:10;0,003996372222900391
0;_merge_duplicate_df_for_node for (:Entity:Box:V3);13:33:10;13:33:10;0,003002643585205078
0;_merge_duplicate_df_for_node for (:Entity:Pallet:V3);13:33:10;13:33:10;0,0030145645141601562
0;_merge_duplicate_df_for_node for (:Entity:Resource:MachinePart:Sensor:V3);13:33:10;13:33:10;0,026943206787109375
0;_merge_duplicate_df_for_node for (:Entity:Resource:Station:Location:V3);13:33:10;13:33:10;0,025093555450439453
0;_merge_duplicate_df_for_node for (:Entity:Resource:HumanResource:Operator:V3);13:33:10;13:33:10;0,0019631385803222656
0;total;13:32:23;13:33:34;70,94933986663818
0;clear_db;13:33:10;13:34:03;52,999754428863525
0;set_constraints;13:34:03;13:34:03;0,05697965621948242
0;_import_nodes_from_data for S1.csv;13:34:03;13:34:03;0,09659576416015625
0;_import_nodes_from_data for S2.csv;13:34:03;13:34:03;0,06047344207763672
0;_import_nodes_from_data for S3.csv;13:34:03;13:34:03;0,06352353096008301
0;_import_nodes_from_data for S4.csv;13:34:03;13:34:03;0,060957908630371094
0;_import_nodes_from_data for S5.csv;13:34:03;13:34:03;0,057637691497802734
0;_import_nodes_from_data for S6.csv;13:34:03;13:34:03;0,0550074577331543
0;_import_nodes_from_data for S101.csv;13:34:03;13:34:03;0,020508289337158203
